,product name,company,original_prices,discount_prices,discount 
142,Color Block Men Round Neck Yellow T-Shirt,TRIPR," 1,999", 143,92%  
143,RBK VECTOR TEE Color Block Men Round Neck Maroon T-Shir...,REEBOK, 999, 319,68%  
144,Striped Men Round Neck Maroon T-Shirt,Reya," 1,499", 223,85%  
145,Solid Men Polo Neck Purple T-Shirt,MOONVELLY," 1,749", 199,88%  
146,"Pack of 2 Solid Men Round Neck Black, Grey T-Shirt",SCOTT INTERNATIONAL," 1,499", 231,84%  
147,Printed Men Polo Neck Grey T-Shirt,REEBOK," 1,199", 383,68%  
148,Printed Men Round Neck Green T-Shirt,PUMA," 1,499", 359,76%  
149,"Color Block Men Mandarin Collar White, Black T-Shirt",FastColors," 1,999", 199,90%  
150,Solid Men High Neck Black T-Shirt,LIME, 599, 208,65%  
151,"Solid Men V Neck Blue, Grey T-Shirt",TRIPR, 899, 143,84%  
152,"Printed Men Polo Neck Dark Green, Black T-Shirt",TRIPR," 1,999", 191,90%  
153,Striped Men Polo Neck Pink T-Shirt,EyeBogler," 1,299", 231,82%  
154,"Striped Tshirt Striped Men Round Neck White, Black, Gre...",EyeBogler," 1,299", 244,81%  
155,Printed Men Crew Neck Blue T-Shirt,PUMA," 1,499", 424,71%  
156,"Printed Men Round Neck White, Black T-Shirt",BLIVE," 1,999", 143,92%  
157,Solid Men High Neck Black T-Shirt,Gritstones," 1,299", 227,82%  
158,Solid Men Polo Neck Green T-Shirt,Allen Solly, 999, 399,60%  
159,x1DER Core Polo Striped Men Polo Neck Blue T-Shirt,PUMA," 1,999", 499,75%  
